BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL,Month,Year,AQI_category
0.0,1.0,0.0,0.5,0.0,31.0,48.5,95.5,43.0,15.25,8.0,7.25,1.0,1.5,0,0,1
0.0,1.0,0.0,0.0,0.0,3.0,22.5,27.5,50.5,8.0,8.0,4.0,1.0,2.5,8,0,1
0.0,1.0,0.0,1.0,0.0,63.0,97.0,193.0,31.0,42.0,8.0,18.0,1.0,1.0,8,0,0
0.0,1.0,0.0,0.0,0.0,7.0,31.0,42.0,69.0,9.0,8.0,7.0,1.0,2.0,8,0,2
0.0,1.0,0.0,0.8,0.0,35.4,69.6,123.6,36.8,28.2,8.0,10.6,1.0,1.4,8,0,1
0.0,1.0,0.0,0.3333333333333333,0.0,5.333333333333333,37.333333333333336,46.0,51.0,14.333333333333334,8.0,6.666666666666667,1.0,3.0,8,0,1
0.0,1.0,0.0,0.0,0.0,3.5,33.5,39.0,42.5,15.5,8.0,4.0,1.0,3.0,8,0,1
0.0,1.0,0.0,1.0,0.0,9.0,33.0,47.0,24.0,16.5,8.0,4.0,1.0,5.0,8,0,0
0.0,1.0,0.0,0.75,0.0,18.75,27.5,56.25,16.0,14.0,8.0,4.25,1.0,4.75,8,0,0
0.0,1.0,0.0,1.0,0.0,6.5,31.25,41.25,31.25,11.75,8.0,5.25,1.0,6.0,8,0,0
0.0,1.0,0.0,1.0,0.0,6.5,50.0,59.5,43.0,16.5,8.0,4.0,1.0,6.5,8,0,1
0.0,1.0,0.0,1.0,0.0,17.5,75.5,102.0,63.0,24.5,8.0,6.0,1.0,3.5,8,0,1
0.0,1.0,0.0,1.0,0.0,10.428571428571429,59.42857142857143,75.28571428571429,47.714285714285715,22.142857142857142,8.0,6.428571428571429,1.0,1.0,8,0,1
0.0,1.0,0.0,1.0,0.0,26.333333333333332,72.0,113.0,52.666666666666664,32.333333333333336,8.0,8.0,1.0,6.666666666666667,8,0,1
0.0,1.0,0.0,0.0,0.0,13.6,73.4,94.2,40.6,30.4,8.0,8.4,1.0,2.0,8,0,1
0.0,1.0,0.0,0.0,0.0,8.0,52.0,64.0,36.0,24.0,8.0,7.0,1.0,7.0,6,0,1
0.0,1.0,0.0,0.0,0.0,9.5,52.5,67.0,43.0,22.5,8.0,4.5,1.0,3.5,6,0,1
0.0,1.0,0.0,0.25,0.0,4.5,42.75,50.25,50.25,30.0,8.0,6.5,1.0,7.0,6,0,1
0.0,1.0,0.0,0.0,0.0,41.0,57.0,120.0,23.0,23.0,8.0,6.0,1.0,4.0,6,0,0
